Name,ByteSize, Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Module load benches/Benching module of size (in bytes), 5756,5.379310423262883e-5,5.373448165032969e-5,5.398374995342559e-5,3.376288964737589e-7,1.0767952506395347e-7,6.871104214797896e-7
Module load benches/Benching module of size (in bytes), 10229,1.0295413978848071e-4,1.0286564249827118e-4,1.0310357163116149e-4,3.6742769584403917e-7,2.1668737442366658e-7,5.78028377953477e-7
Module load benches/Benching module of size (in bytes), 7261,6.457565245236671e-5,6.454631784393088e-5,6.462164758851023e-5,1.2084226682828576e-7,9.118205947907604e-8,1.675783158827954e-7
Module load benches/Benching module of size (in bytes), 8103,8.75561638384321e-5,8.749225351587985e-5,8.766580895813314e-5,2.864500997363213e-7,1.9461401082566488e-7,4.2655926998591726e-7
Module load benches/Benching module of size (in bytes), 7782,9.002498601285473e-5,8.97590522649616e-5,9.071043423601835e-5,1.3499893216660378e-6,7.333536761704886e-7,2.4245123789669072e-6
Module load benches/Benching module of size (in bytes), 7739,8.604633950252983e-5,8.049005494180308e-5,1.0730821130476368e-4,3.532884365822766e-5,9.613795375647266e-7,7.517268275773661e-5
Module load benches/Benching module of size (in bytes), 11942,1.3503722716072907e-4,1.343939402717543e-4,1.3627655461913556e-4,2.8798629224732764e-6,1.8786883067821683e-6,4.074264227773095e-6
Module load benches/Benching module of size (in bytes), 7115,7.444478277196973e-5,7.428563127955131e-5,7.474422853177559e-5,7.441420809702791e-7,4.56995389412925e-7,1.3053027402309543e-6
Module load benches/Benching module of size (in bytes), 16329,1.9256138048457587e-4,1.9237556450223941e-4,1.9286108299502192e-4,7.874202403435431e-7,5.16860366274156e-7,1.15773328629319e-6
Module load benches/Benching module of size (in bytes), 2736,2.0561417780832903e-5,1.9728167427221513e-5,2.2673057270252283e-5,3.8713775860453016e-6,6.414991011972085e-8,6.8341689903861455e-6
Module load benches/Benching module of size (in bytes), 4899,5.275836697621872e-5,5.2706627455014846e-5,5.283533786498263e-5,2.0518311448676086e-7,1.6688056653738842e-7,2.784196511584917e-7
Module load benches/Benching module of size (in bytes), 10329,1.1624591510304917e-4,1.1618578912735446e-4,1.1633920387657376e-4,2.4686203202846305e-7,1.7434746572676365e-7,3.4841395168192544e-7
Module load benches/Benching module of size (in bytes), 4722,4.260150756142331e-5,4.2536271368920215e-5,4.2676568671742646e-5,2.2659621123865963e-7,1.8444567263535228e-7,2.8262484895640177e-7
Module load benches/Benching module of size (in bytes), 4466,4.034858413158184e-5,4.031901248502163e-5,4.038921125897672e-5,1.1482937403134172e-7,7.680462692943997e-8,1.8257904664197801e-7
Module load benches/Benching module of size (in bytes), 14150,1.631936780487043e-4,1.6294388059797944e-4,1.6353326811172395e-4,1.0250989432296025e-6,6.876156479788725e-7,1.6627023168008975e-6
Module load benches/Benching module of size (in bytes), 3626,2.8345222138830822e-5,2.828959989026788e-5,2.850072813597922e-5,2.78983908848271e-7,1.3475816880910927e-7,5.34876217208654e-7
Module load benches/Benching module of size (in bytes), 1861,1.4665930507213896e-5,1.4643646378323336e-5,1.4712010115127022e-5,1.0388693400905255e-7,5.135124127109969e-8,1.9994419151726382e-7
Module load benches/Benching module of size (in bytes), 6127,5.0206930990934085e-5,5.0166024565630414e-5,5.0259065976788704e-5,1.4938562585167498e-7,9.970694253427168e-8,2.1708982315753702e-7
Module load benches/Benching module of size (in bytes), 14197,1.7456222496534308e-4,1.7189226417454833e-4,1.7830228236624408e-4,9.955267509466187e-6,7.434870311837107e-6,1.3379374066211945e-5
Module load benches/Benching module of size (in bytes), 3004,2.5090144502573914e-5,2.4407520480094288e-5,2.6909077130162906e-5,3.6320369874347042e-6,1.280466970831321e-6,7.119130423192846e-6
Module load benches/Benching module of size (in bytes), 3299,3.066980009612637e-5,3.053055123373535e-5,3.07691867773065e-5,4.0232507918184984e-7,3.2820376627553187e-7,4.767150906952728e-7
Module load benches/Benching module of size (in bytes), 7625,7.318670456853699e-5,7.30899864157338e-5,7.336079335991614e-5,3.955793902178968e-7,2.624161876976479e-7,5.711747068927185e-7
Module load benches/Benching module of size (in bytes), 5671,4.709669717592378e-5,4.703552170091911e-5,4.7167638547659394e-5,2.2160282598574547e-7,1.8042301374663272e-7,2.8539126840053153e-7
Module load benches/Benching module of size (in bytes), 10599,1.2397867809852897e-4,1.2379173343781013e-4,1.242858874591665e-4,8.145934226885023e-7,5.811208582595569e-7,1.2512925597628095e-6
Module load benches/Benching module of size (in bytes), 5387,4.5522868510846875e-5,4.548310713507912e-5,4.559185429919382e-5,1.763821399094621e-7,1.3082132671919402e-7,2.883407314634101e-7
Module load benches/Benching module of size (in bytes), 5568,4.528902323434767e-5,4.52543249557934e-5,4.5362046647828406e-5,1.5875584366146913e-7,9.601177214821747e-8,3.001066973695457e-7
Module load benches/Benching module of size (in bytes), 11364,1.247239815450703e-4,1.2453851687322084e-4,1.249456367082468e-4,6.225581537463373e-7,5.116118518102591e-7,8.903723345149697e-7
Module load benches/Benching module of size (in bytes), 11375,1.3613900795128814e-4,1.3604820947173067e-4,1.3627387321988257e-4,3.819626238130755e-7,2.842270813474133e-7,5.392229082056688e-7
Module load benches/Benching module of size (in bytes), 7572,7.32080250045394e-5,7.312004219197319e-5,7.332382397684298e-5,3.389467043196195e-7,2.588483618598099e-7,4.553854248801354e-7
Module load benches/Benching module of size (in bytes), 11589,1.330226060526843e-4,1.3281810588479777e-4,1.3331116601295777e-4,7.941726263829201e-7,5.505935873374192e-7,1.129456805584141e-6
Module load benches/Benching module of size (in bytes), 15919,1.7803938359941317e-4,1.7779626122366786e-4,1.7828348641380054e-4,7.972798817770428e-7,6.323274413020654e-7,1.0303960003488687e-6
Module load benches/Benching module of size (in bytes), 6533,6.077120380971641e-5,6.071311152891069e-5,6.0855054225347193e-5,2.3520135064754514e-7,1.889325679424614e-7,2.958835789969357e-7
Module load benches/Benching module of size (in bytes), 9102,1.0266627679506615e-4,1.0259853242270641e-4,1.0275032369301429e-4,2.566006843928175e-7,1.9488658270925595e-7,3.413829514838563e-7
Module load benches/Benching module of size (in bytes), 3374,2.228341218017292e-5,2.222526102820558e-5,2.2463566053824522e-5,3.0308112615968466e-7,6.689085025977304e-8,6.41233380753159e-7
Module load benches/Benching module of size (in bytes), 3104,2.3749453543752202e-5,2.3718831057829235e-5,2.37819637956324e-5,9.83420709291696e-8,7.52206574298538e-8,1.3156138648659303e-7
Module load benches/Benching module of size (in bytes), 2215,1.665592579451988e-5,1.663663574535995e-5,1.6686876565648496e-5,8.330888999821343e-8,5.7770357910735025e-8,1.2269339596774324e-7
Module load benches/Benching module of size (in bytes), 4041,3.642372634782738e-5,3.638814405722845e-5,3.645964297884864e-5,1.2220792110213927e-7,9.256416406491187e-8,1.6005549172463784e-7
Module load benches/Benching module of size (in bytes), 5352,4.7023405300447765e-5,4.6987142421743855e-5,4.706797181738994e-5,1.344265015613646e-7,9.970740464243496e-8,1.7958707958527356e-7
Module load benches/Benching module of size (in bytes), 13955,1.532711069362832e-4,1.5304293506581776e-4,1.534713247281757e-4,7.067109169393045e-7,5.675828850880499e-7,8.727032880388181e-7
Module load benches/Benching module of size (in bytes), 10994,1.2512759697427765e-4,1.2401994303257012e-4,1.295824125034381e-4,7.057510182028477e-6,4.7178179671274594e-7,1.5024477813679e-5
Module load benches/Benching module of size (in bytes), 13375,1.5868294382124723e-4,1.5850916901766112e-4,1.5891668319220286e-4,6.706125141676404e-7,5.142071944990313e-7,9.660404076291584e-7
Module load benches/Benching module of size (in bytes), 5872,5.84866803015019e-5,5.8417641714614884e-5,5.867032132063152e-5,3.4603492719893433e-7,1.8189032643593883e-7,6.897666704659228e-7
Module load benches/Benching module of size (in bytes), 3099,1.902509334730769e-5,1.9003527415733937e-5,1.9055358806989077e-5,8.464744133789113e-8,6.351241310350332e-8,1.1566325413483976e-7
Module load benches/Benching module of size (in bytes), 3349,2.9573784005518143e-5,2.9550665704553758e-5,2.962510384871606e-5,1.1583134133445552e-7,7.298403446060208e-8,2.0027626999964603e-7
Module load benches/Benching module of size (in bytes), 7876,7.572344283034481e-5,7.564227508440459e-5,7.583198237719027e-5,3.1805153718803616e-7,2.4991845124761573e-7,4.1143195533621323e-7
Module load benches/Benching module of size (in bytes), 3116,2.5207057136820016e-5,2.5171197924725946e-5,2.5247685027875622e-5,1.3087831481066028e-7,1.052108063130672e-7,1.767728021934271e-7
Module load benches/Benching module of size (in bytes), 4473,4.1402843879408105e-5,4.1373072621634426e-5,4.144437701504331e-5,1.1891110014389133e-7,8.608696559068935e-8,1.6197800607707316e-7
Module load benches/Benching module of size (in bytes), 10270,1.1059514332440553e-4,1.1042113277966848e-4,1.108032863088959e-4,6.62080017073598e-7,5.149770480803231e-7,9.25281573376939e-7
Module load benches/Benching module of size (in bytes), 7303,6.892682356287637e-5,6.886617452814235e-5,6.902667792577106e-5,2.660641820801171e-7,1.7101273742575401e-7,4.820628274000257e-7
Module load benches/Benching module of size (in bytes), 9296,9.954753158848394e-5,9.866878219732218e-5,1.0098459794306128e-4,3.736295819238305e-6,2.6725192556574016e-6,5.311576748001515e-6
Module load benches/Benching module of size (in bytes), 3512,2.4619537096005125e-5,2.4608266606596472e-5,2.4636154104788923e-5,4.507755774250839e-8,3.2777413889643236e-8,6.05430427689493e-8
Module load benches/Benching module of size (in bytes), 12215,1.4155010837808998e-4,1.4140862748283998e-4,1.4180320464304348e-4,6.673155059574079e-7,4.621109416982526e-7,1.0149141290930857e-6
Module load benches/Benching module of size (in bytes), 11246,1.1806694606652118e-4,1.1788245952437659e-4,1.1840137838067409e-4,8.420584099763528e-7,5.587459390230401e-7,1.2956722134938493e-6
Module load benches/Benching module of size (in bytes), 13789,1.4642381884074414e-4,1.4584457823304793e-4,1.4826549692335204e-4,3.219783788149196e-6,9.747260798278426e-7,6.4961483451708515e-6
Module load benches/Benching module of size (in bytes), 9532,9.56724166997305e-5,9.562883903797229e-5,9.574411723464479e-5,1.8386176472114373e-7,1.2640284066429305e-7,2.6906253334001293e-7
Module load benches/Benching module of size (in bytes), 7549,8.486163678469728e-5,8.481651662513706e-5,8.498587311249081e-5,2.316547770498852e-7,1.0478043073348872e-7,4.80381716309501e-7
Module load benches/Benching module of size (in bytes), 4779,4.3154209217135384e-5,4.314633383507606e-5,4.3162443337818535e-5,2.658907371145157e-8,2.208569320561653e-8,3.392689565087588e-8
Module load benches/Benching module of size (in bytes), 7784,7.788021569175739e-5,7.784208363847262e-5,7.798727243685996e-5,1.9824403421957892e-7,8.994889189554458e-8,3.785259534608351e-7
Module load benches/Benching module of size (in bytes), 2160,1.3399931346779734e-5,1.339254033863976e-5,1.3413283118778725e-5,3.124861661763443e-8,1.6337784041365656e-8,5.4718420124919104e-8
Module load benches/Benching module of size (in bytes), 4839,4.63372555615308e-5,4.631956614040465e-5,4.637088059720984e-5,8.131370939099815e-8,5.3708518529478886e-8,1.2674338036510978e-7
Module load benches/Benching module of size (in bytes), 5358,4.598536203433301e-5,4.5960305961628124e-5,4.602976911056714e-5,1.113800355869185e-7,5.405238663823671e-8,1.9382794690977537e-7
Module load benches/Benching module of size (in bytes), 18258,2.301414287334654e-4,2.2719416857776813e-4,2.3518628594529023e-4,1.278389149050796e-5,6.997641385537094e-6,2.047404209752394e-5
Module load benches/Benching module of size (in bytes), 4317,4.516405804183351e-5,4.509720530541686e-5,4.529561321297351e-5,3.085904400294726e-7,1.5830809643959988e-7,5.525002716600444e-7
Module load benches/Benching module of size (in bytes), 4521,4.3011974153162046e-5,4.29274763102421e-5,4.31396232814108e-5,3.3734886772499075e-7,2.5224335270072725e-7,4.806101294172442e-7
Module load benches/Benching module of size (in bytes), 13916,1.5064922716480846e-4,1.5051421090028105e-4,1.5078061830949618e-4,4.433922472119257e-7,3.607696325887951e-7,5.548031104427678e-7
Module load benches/Benching module of size (in bytes), 10133,1.1593536792797926e-4,1.1558939605492023e-4,1.1727132054524826e-4,1.875207809830974e-6,7.743741936738118e-7,3.862336553830742e-6
Module load benches/Benching module of size (in bytes), 3957,2.7102067283464813e-5,2.707686035537002e-5,2.713397373772768e-5,1.0147281568253404e-7,7.133154132994984e-8,1.4329750790178304e-7
Module load benches/Benching module of size (in bytes), 6169,5.47921275472825e-5,5.430749148836564e-5,5.596444577284108e-5,2.3365609958772244e-6,2.6978832784463293e-7,4.494841201239063e-6
Module load benches/Benching module of size (in bytes), 3586,2.2182030482459617e-5,2.2158419227030498e-5,2.222983076927845e-5,1.1083021380916738e-7,5.865623835905946e-8,1.9730785589039882e-7
Module load benches/Benching module of size (in bytes), 4476,3.0243830103727504e-5,3.0215353020617744e-5,3.0281195520491674e-5,1.0874118484731469e-7,8.178504820150034e-8,1.4703965406254776e-7
Module load benches/Benching module of size (in bytes), 2836,1.841552311550644e-5,1.8400603142862128e-5,1.843559935837326e-5,5.5484536696346806e-8,3.9512781054174365e-8,8.120441419318088e-8
Module load benches/Benching module of size (in bytes), 5595,5.73328109842746e-5,5.728179210680263e-5,5.73897633022738e-5,1.7966281710948977e-7,1.4537808749229731e-7,2.4106043605869013e-7
Module load benches/Benching module of size (in bytes), 12089,1.412870780988974e-4,1.4119732496981798e-4,1.413703629073007e-4,2.857752200742573e-7,2.3711398289207454e-7,3.483201916297518e-7
Module load benches/Benching module of size (in bytes), 8731,9.244488906556176e-5,9.232756207608023e-5,9.257367745305894e-5,4.110833203190259e-7,3.2067431946557295e-7,5.492939296632435e-7
Module load benches/Benching module of size (in bytes), 5861,5.005165105167534e-5,5.000615038981438e-5,5.011197177802594e-5,1.7303062218682388e-7,1.3895376918744513e-7,2.1381544978944527e-7
Module load benches/Benching module of size (in bytes), 5570,5.228396428882946e-5,5.223730130025605e-5,5.236765673391436e-5,1.8786527888401104e-7,1.2859689921151837e-7,3.1083730084753026e-7
Module load benches/Benching module of size (in bytes), 5421,4.422336794360717e-5,4.396015574165108e-5,4.4731703293202324e-5,1.171561218714054e-6,6.740558783885972e-7,1.8523807943971348e-6
Module load benches/Benching module of size (in bytes), 6542,5.7137948548755e-5,5.702066498041929e-5,5.728353486166381e-5,4.686488212305205e-7,4.0238250489302584e-7,5.311566452383464e-7
Module load benches/Benching module of size (in bytes), 2327,1.695333099664475e-5,1.6943944808497925e-5,1.6969204096113666e-5,3.986584877811504e-8,2.949803458423185e-8,5.9132805488804144e-8
Module load benches/Benching module of size (in bytes), 5838,6.207789185492498e-5,6.199555844081718e-5,6.216191676271699e-5,2.8868045250759467e-7,2.3278007299485827e-7,3.801171756968187e-7
Module load benches/Benching module of size (in bytes), 4686,3.968724933473719e-5,3.959721216675746e-5,3.972427413522999e-5,1.8099580525436507e-7,9.517079885140004e-8,3.3665860720447156e-7
Module load benches/Benching module of size (in bytes), 2015,2.0634752851421936e-5,2.062305129847502e-5,2.0654917417406355e-5,4.984707023952279e-8,3.1533379423071054e-8,7.465100379925796e-8
Module load benches/Benching module of size (in bytes), 4266,3.7576574008636786e-5,3.754246355784918e-5,3.761473251971163e-5,1.18572775623711e-7,9.447785882768589e-8,1.517055163569816e-7
Module load benches/Benching module of size (in bytes), 3361,2.8920542489602665e-5,2.8892107406298953e-5,2.8957873434768885e-5,1.1430917716599059e-7,8.03797352284573e-8,1.8759611393726313e-7
Module load benches/Benching module of size (in bytes), 1991,1.2666693503119149e-5,1.2659460303670282e-5,1.268330813669984e-5,3.57464756806335e-8,2.0297319055275794e-8,6.024625488259333e-8
Module load benches/Benching module of size (in bytes), 8143,7.966659416472483e-5,7.961683205881833e-5,7.977190315930317e-5,2.5858469329362747e-7,1.550279568519803e-7,4.609001688890683e-7
Module load benches/Benching module of size (in bytes), 8275,8.672353026447499e-5,8.665386976722524e-5,8.683255028031368e-5,2.7922318718156316e-7,1.8797135879194826e-7,4.457049561586087e-7
Module load benches/Benching module of size (in bytes), 14308,1.6247666577224752e-4,1.6238020073399938e-4,1.6257858827111e-4,3.400458240287755e-7,2.6643472163236675e-7,4.427491799646486e-7
Module load benches/Benching module of size (in bytes), 9561,9.604428216073802e-5,9.596761133903042e-5,9.614927454650703e-5,2.922484225512248e-7,2.2775289326131133e-7,4.00769936784389e-7
Module load benches/Benching module of size (in bytes), 7308,7.92627292150753e-5,7.919010786534818e-5,7.93451830011483e-5,2.6801812208585235e-7,2.1036659914445064e-7,3.56975057363383e-7
Module load benches/Benching module of size (in bytes), 4717,4.29763800011465e-5,4.2953398251447615e-5,4.301283026925186e-5,8.776406326192484e-8,6.710336396385645e-8,1.1514900381290478e-7
Module load benches/Benching module of size (in bytes), 15001,1.6464225148720197e-4,1.6443358594953896e-4,1.650947781509565e-4,9.604028074064677e-7,4.884656718055221e-7,1.7368706086293965e-6
Module load benches/Benching module of size (in bytes), 7462,7.239245599750993e-5,7.231760151751613e-5,7.249788696302844e-5,2.950363896930707e-7,2.168153679791993e-7,4.4001586739610017e-7
Module load benches/Benching module of size (in bytes), 5321,5.141587605576214e-5,5.13285388129948e-5,5.1725885247581264e-5,5.198555023566973e-7,9.381766598212833e-8,1.0894426850667625e-6
Module load benches/Benching module of size (in bytes), 6813,6.607642846237534e-5,6.603881863227847e-5,6.61348177201374e-5,1.5693669331081958e-7,1.2773226530456137e-7,2.2048734326260545e-7
Module load benches/Benching module of size (in bytes), 4245,2.990539087429579e-5,2.9882904074434774e-5,2.9942233805864625e-5,9.59163098154791e-8,6.915780421714437e-8,1.3610250477002602e-7
Module load benches/Benching module of size (in bytes), 14730,1.7603702026180787e-4,1.757598210008708e-4,1.7664284484288296e-4,1.2545363222221842e-6,7.115453374503621e-7,2.3456454698698335e-6
Module load benches/Benching module of size (in bytes), 9249,1.015817272645818e-4,1.0146816195376204e-4,1.0175605629295919e-4,4.637924734095029e-7,3.1577949860567754e-7,7.054117600482997e-7
Module load benches/Benching module of size (in bytes), 1716,1.2707918927123978e-5,1.2691457477415534e-5,1.272619148842792e-5,6.027310849399742e-8,4.6381338899718276e-8,8.1796310064087e-8
Module load benches/Benching module of size (in bytes), 6763,6.514841632077632e-5,6.497822885510524e-5,6.557490756423522e-5,8.417236952132285e-7,4.547578609377796e-7,1.5083762257573928e-6
